#Wave,#Intensity
673.527344,8933.916992
671.714844,8912.191406
669.902344,8903.657227
668.087891,8976.841797
666.275391,9048.676758
664.460938,9058.560547
662.646484,9155.370117
660.830078,9054.610352
659.015625,9314.629883
657.199219,9220.459961
655.382812,9207.920898
653.566406,9249.330078
651.75,9196.011719
649.933594,9169.017578
648.115234,9120.998047
646.296875,9103.232422
644.478516,9122.274414
642.660156,9204.37793
640.839844,9038.157227
639.021484,9002.036133
637.201172,9148.453125
635.380859,9180.588867
633.558594,9196.959961
631.738281,9189.702148
629.916016,9358.250977
628.09375,9228.973633
626.271484,9116.800781
624.449219,9340.319336
622.625,9156.075195
620.800781,9241.879883
618.978516,9284.40918
617.152344,9319.058594
615.328125,9303.925781
613.503906,9265.229492
611.677734,9425.532227
609.851562,9350.178711
608.025391,9430.571289
606.197266,9305.53418
604.371094,9497.077148
602.542969,9411.30957
600.714844,9517.763672
598.886719,9684.297852
597.056641,9619.452148
595.228516,9631.719727
593.398438,9755.011719
591.568359,9704.556641
589.738281,9775.550781
587.90625,9876.537109
586.076172,9981.393555
584.244141,10011.8291
582.412109,10154.43945
580.580078,10085.7002
578.746094,10243.87891
576.914062,10365.48438
575.080078,10493.55273
573.246094,10459.98047
571.412109,10563.21777
569.576172,10576.53418
567.740234,10690.11719
565.90625,10782.81836
564.068359,10827.31543
562.232422,10912.13574
560.396484,10938.36914
558.558594,11172.7207
556.720703,11070.13086
554.882812,11300.44824
553.044922,11221.27344
551.205078,11417.66406
549.365234,11415.16016
547.525391,11426.94727
545.685547,11453.01563
543.845703,11446.6084
542.003906,11606.37891
540.164062,11598.6416
538.322266,11694.7207
536.478516,11721.99512
534.636719,11600.08887
532.792969,11684.43066
530.951172,11838.74805
529.107422,11812.81738
527.261719,11522.51758
525.417969,11643.0791
523.572266,11652.18164
521.728516,11623.7207
519.880859,11626.34863
518.035156,11550.00586
516.189453,11349.44629
514.341797,11374.12695
512.494141,11274.60059
510.646484,11290.23242
508.798828,11075.67773
506.949219,10919.39551
505.101562,10878.21973
503.251953,10681.98633
501.402344,10779.12305
499.550781,10581.70508
497.701172,10616.83106
495.849609,10304.62207
493.998047,10328.17383
492.146484,10243.30566
490.292969,10099.12109
488.441406,10085.29004
486.587891,9821.257812
484.734375,9908.069336
482.880859,9886.552734
481.025391,9705.223633
479.171875,9799.733398
477.316406,9690.647461
475.460938,9606.081055
473.605469,9594.953125
471.748047,9438.34668
469.892578,9518.648438
468.035156,9461.216797
466.177734,9511.884766
464.318359,9466.055664
462.460938,9413.81543
460.601562,9452.886719
458.742188,9540.788086
456.882812,9628.650391
455.023438,9593.12207
453.162109,9637.254883
451.300781,9654.396484
449.439453,9774.254883
447.578125,9746.425781
445.716797,9698.072266
443.853516,9829.388672
441.990234,9797.714844
440.126953,9751.945312
438.263672,9939.584961
436.400391,9788.672852
434.535156,9837.786133
432.669922,9826.646484
430.804688,9962.852539
428.939453,9846.650391
427.072266,9963.580078
425.207031,9825.662109
423.339844,9939.983398
421.470703,9836.68457
419.603516,9933.039062
417.736328,10067.72656
415.867188,9780.294922
413.998047,9932.857422
412.128906,9868.022461
410.257812,9748.256836
408.388672,9760.161133
406.517578,9821.883789
404.646484,9820.993164
402.773438,9858.411133
400.902344,9831.976562
399.029297,9662.591797
397.15625,9702.570312
395.283203,9775.703125
393.410156,9827.118164
391.537109,9756.080078
389.662109,9755.199219
387.787109,9781.087891
385.912109,9849.021484
384.035156,9716.878906
382.160156,9817.916016
380.283203,9945.654297
