#Wave,#Intensity
1356.462891,12087.54395
1354.796875,12082.12793
1353.128906,11973.45801
1351.462891,11904.97949
1349.794922,11997.08203
1348.128906,11755.20703
1346.460938,11964.80078
1344.791016,11988.06543
1343.123047,11921.08496
1341.455078,11772.50684
1339.785156,11805.81738
1338.115234,11870.60352
1336.445312,11800.83887
1334.775391,11826.96582
1333.103516,11864.52539
1331.433594,11829.12891
1329.761719,11679.35449
1328.089844,11809.84277
1326.417969,11624.40137
1324.744141,11773.42188
1323.072266,11700.93164
1321.398438,11584.19141
1319.724609,11741.69238
1318.050781,11637.84082
1316.376953,11633.95703
1314.703125,11645.77344
1313.027344,11647.59473
1311.351562,11620.88379
1309.675781,11736.81055
1306.324219,11577.88184
1304.646484,11542.65234
1302.970703,11612.89258
1301.292969,11561.99805
1299.615234,11626.50488
1297.9375,11454.57227
1296.257812,11547.55176
1294.580078,11459.69727
1292.900391,11484.31738
1291.220703,11550.19238
1289.541016,11394.10352
1287.859375,11451.43359
1286.179688,11559.93359
1284.498047,11483.55859
1282.816406,11718.51367
1281.134766,11740.19531
1279.453125,11811.59766
1277.771484,11890.07129
1276.087891,12137.52148
1274.404297,12134.9541
1272.720703,12094.05664
1271.037109,11891.36816
1269.353516,11592.26953
1267.667969,11547.25391
1265.984375,11472.46875
1264.298828,11416.15137
1262.613281,11366.94531
1260.927734,11368.79199
1259.240234,11251.58789
1257.554688,11365.39551
1255.867188,11224.15723
1254.179688,11367.66504
1252.492188,11202.41113
1250.802734,11192.95996
1249.115234,11233.05371
1247.425781,11091.98828
1245.736328,11252.34766
1244.046875,11337.66602
1242.357422,11207.98047
1240.667969,11304.58301
1238.976562,11327.63281
1237.285156,11306.85938
1235.59375,11158.91797
1233.902344,11220.12695
1232.210938,11309.55762
1230.517578,11291.62695
1228.824219,11359.8252
1227.130859,11329.18555
1225.4375,11304.20313
1223.744141,11251.01074
1222.050781,11069.4707
1220.355469,11302.65332
1218.660156,11246.67383
1216.964844,11166.75098
1215.269531,11217.94141
1213.574219,11464.9834
1211.876953,11217.4082
1210.179688,11289.68164
1208.482422,11278.83594
1206.785156,11307.41699
1205.087891,11188.18066
1203.390625,11325.13477
1201.691406,11190.46582
1199.992188,11337.20801
1198.292969,11233.53418
1196.59375,11325.36231
1194.892578,11268.12793
1193.193359,11074.57617
1191.492188,11225.39941
1189.791016,11253.92481
1188.089844,11240.2959
1186.388672,11133.9834
1184.685547,11322.57324
1182.982422,11168.55762
1181.28125,11198.46484
1179.576172,11318.16211
1177.873047,11144.60352
1176.169922,11224.98731
1174.464844,11097.79688
1172.759766,11165.53711
1171.054688,11335.57227
1169.349609,11212.6416
1167.644531,11206.05371
1165.9375,11175.6543
1164.230469,11125.65918
1162.525391,11198.9043
1160.816406,11245.51856
1159.109375,11296.31152
1157.402344,11218.34473
1155.693359,11224.35156
1153.984375,11406.59473
1152.275391,11381.79297
1150.566406,11386.36035
1148.855469,11212.00391
1147.146484,11361.94824
1145.435547,11421.00781
1143.724609,11621.13184
1142.013672,11435.69727
1140.302734,11511.45703
1138.589844,11529.94629
1136.876953,11655.89941
1135.164062,11752.49316
1133.451172,11617.4502
1131.738281,11670.76953
1130.025391,11772.875
1128.310547,11644.88281
1126.595703,11582.46094
1124.880859,11702.63477
1123.166016,11725.22168
1121.449219,11778.44531
1119.734375,11497.37891
1118.017578,11657.84766
1116.300781,11467.41699
1114.583984,11598.59375
1112.867188,11594.72852
1111.148438,11660.42871
1109.429688,11618.99414
1107.712891,11499.69727
1105.992188,11704.41406
1104.273438,11583.75781
1102.554688,11604.91309
1100.833984,11771.95801
1099.113281,11654.14063
1097.392578,11439.14844
1095.671875,11654.7207
1093.951172,11621.69043
1092.228516,11638.6416
1090.505859,11612.56543
1088.783203,11761.31738
1087.060547,11771.29004
1085.337891,11702.20801
1083.613281,11658.11231
1081.888672,11719.38965
1080.164062,11784.79883
1078.439453,11686.6709
1076.714844,11686.94531
1074.990234,11631.81543
1073.263672,11636.25391
1071.537109,11824.8252
1069.810547,11628.5127
1068.083984,11688.30273
1066.355469,11663.66699
1064.628906,11759.3877
1062.900391,11299.10059
1061.171875,11569.07813
1059.443359,11563.83887
1057.712891,11554.45606
