#Wave,#Intensity
1318.050781,9339.114258
1316.376953,9208.669922
1314.703125,9159.628906
1313.027344,9093.485352
1311.351562,9150.054688
1309.675781,9133.860352
1308,9176.136719
1306.324219,9202.711914
1304.646484,9086.738281
1302.970703,9033.516602
1301.292969,8951.821289
1299.615234,9019.729492
1297.9375,8817.015625
1296.257812,8966.083008
1294.580078,8864.538086
1292.900391,8886.860352
1291.220703,8890.673828
1289.541016,8836.15625
1287.859375,8682.095703
1286.179688,8660.351562
1284.498047,8752.356445
1282.816406,8767.563477
1281.134766,8677.597656
1279.453125,8603.298828
1277.771484,8659.72168
1276.087891,8646.52832
1274.404297,8644.699219
1272.720703,8530.717773
1271.037109,8489.170898
1269.353516,8596.641602
1267.667969,8482.741211
1265.984375,8500.804688
1264.298828,8354.353516
1262.613281,8402.209961
1260.927734,8372.080078
1259.240234,8392.984375
1257.554688,8391.207031
1255.867188,8447.513672
1254.179688,8482.549805
1252.492188,8472.257812
1250.802734,8422.327148
1249.115234,8311.553711
1247.425781,8247.526367
1245.736328,8340.574219
1244.046875,8234.129883
1242.357422,8300.269531
1240.667969,8301.338867
1238.976562,8285.443359
1237.285156,8186.166016
1235.59375,8279.105469
1233.902344,8232.142578
1232.210938,8261.47168
1230.517578,8227.240234
1228.824219,8170.433594
1227.130859,8115.062012
1225.4375,8066.769531
1223.744141,8105.977051
1222.050781,8142.345703
1220.355469,8109.590332
1218.660156,8206.575195
1216.964844,8147.033691
1215.269531,8125.572266
1213.574219,8235.172852
1211.876953,7961.513672
1210.179688,8185.195312
1208.482422,7977.850586
1206.785156,8131.03418
1205.087891,7987.133301
1203.390625,8089.583496
1201.691406,8023.140625
1199.992188,7970.792969
1198.292969,7993.010742
1196.59375,7912.567383
1194.892578,7898.233887
1193.193359,8037.114258
1191.492188,7907.526367
1189.791016,7837.002441
1188.089844,7928.046875
1186.388672,7858.95166
1184.685547,7836.220703
1182.982422,7951.069824
1181.28125,7897.451172
1179.576172,7821.40332
1177.873047,7909.525879
1176.169922,7895.221191
1174.464844,7955.244141
1172.759766,7781.106445
1171.054688,7776.648438
1169.349609,7745.56543
1167.644531,7884.028809
1165.9375,7840.327637
1164.230469,7795.244141
1162.525391,7670.367188
1160.816406,7808.727051
1159.109375,7857.452148
1157.402344,7704.653809
1155.693359,7705.812012
1153.984375,7669.204102
1152.275391,7744.485352
1150.566406,7702.291504
1148.855469,7773.338867
1147.146484,7657.086426
1145.435547,7749.070801
1143.724609,7711.100586
1142.013672,7680.129395
1140.302734,7698.04248
1138.589844,7717.34375
1136.876953,7679.410645
1135.164062,7596.838379
1133.451172,7666.373047
1131.738281,7798.645996
1130.025391,7682.630371
1128.310547,7591.760742
1126.595703,7696.084473
1124.880859,7803.150391
1123.166016,7649.609863
1121.449219,7742.708008
1119.734375,7743.843262
1118.017578,7829.918457
1116.300781,7689.030762
1114.583984,7761.161133
1112.867188,7783.163086
1111.148438,7724.460449
1109.429688,7868.867676
1107.712891,7725.337402
1105.992188,7847.435547
1104.273438,7865.222656
1102.554688,7778.766602
1100.833984,7747.926758
1099.113281,7849.075684
1097.392578,7857.123047
1095.671875,7715.194824
1093.951172,7756.586426
1092.228516,7761.870605
1090.505859,7912.864258
1088.783203,7776.593262
1087.060547,7799.901367
1085.337891,7817.651855
1083.613281,7845.100098
1081.888672,7853.12793
1080.164062,7861.152344
1078.439453,7898.271484
1076.714844,7835.628418
1074.990234,7731.458984
1073.263672,7851.666992
1071.537109,7869.37207
1069.810547,7838.622559
1068.083984,7888.150879
1066.355469,7642.953125
1064.628906,7793.481934
1062.900391,7795.964844
1061.171875,7824.717285
1059.443359,7858.986816
1057.712891,7782.672363
1055.984375,7680.135254
1054.253906,7657.77002
1052.523438,7821.879395
1050.792969,7763.587891
1049.0625,7735.695312
1047.330078,7647.078613
1045.599609,7646.822754
1043.867188,7701.755859
1042.134766,7552.506348
1040.400391,7531.581543
1038.667969,7529.969727
1036.933594,7564.200684
1035.199219,7689.382324
1033.464844,7684.980469
1031.730469,7478.060059
1029.996094,7499.874512
1028.259766,7465.218262
1026.523438,7470.503418
1024.787109,7449.632324
1023.050781,7496.204102
1021.314453,7417.546875
1019.576172,7491.616699
1017.839844,7450.127441
1016.101562,7356.403809
1014.363281,7466.181152
1012.623047,7486.571777
1010.884766,7556.422852
1009.144531,7470.998047
1007.404297,7326.546875
1005.664062,7418.35791
1003.923828,7560.929199
1002.181641,7516.754883
1000.441406,7501.418945
998.699219,7491.578125
996.957031,7543.470703
995.214844,7422.532715
993.470703,7505.955078
991.728516,7515.312012
989.984375,7635.684082
988.240234,7527.160645
986.496094,7657.067871
984.75,7636.248535
983.005859,7646.93457
981.259766,7697.320312
979.513672,7750.421875
977.767578,7756.969238
976.019531,7816.875977
974.273438,7849.396484
972.525391,7876.432129
970.777344,7915.761719
969.029297,8009.757812
967.28125,8113.280273
965.53125,8235.888672
963.783203,8388.500977
962.033203,8547.875977
960.283203,8651.192383
958.533203,8759.924805
956.78125,9088.378906
955.029297,9258.382812
953.279297,9392.837891
951.527344,9933.750977
949.773438,10233.02734
948.021484,10823.97852
946.267578,11184.28125
944.515625,11628.93359
942.761719,12156.5166
941.005859,12606.2168
939.251953,13005.32422
937.496094,13219.05371
935.742188,13702.27051
933.986328,13914.39551
932.230469,14240.74609
930.472656,14362.85938
928.716797,14397.8584
926.958984,14574.28613
925.201172,14693.52734
923.443359,14765.13477
921.685547,14938.64844
919.925781,14841.66895
918.166016,14799.07422
916.408203,14884.17676
914.646484,14815.78711
912.886719,14641.52539
911.126953,14763.25391
909.365234,14829.28711
907.603516,14712.11816
905.841797,14764.56641
904.080078,14773.5918
902.316406,14718.88184
900.554688,14553.03027
898.791016,14811.48047
897.027344,14595.54102
895.263672,14680.45508
893.498047,14716.57129
891.734375,14537.35156
889.96875,14436.73535
888.203125,14707.05371
886.4375,14479.22949
884.669922,14708.82813
882.904297,14550.09082
881.136719,14687.60645
879.369141,14397.78027
877.601562,14619.08398
875.832031,14579.4375
874.064453,14735.74219
872.294922,14598.81445
870.525391,14449.78809
868.755859,14412.90918
866.984375,14511.05664
865.214844,14418.83496
863.443359,14467.00488
861.671875,14265.54199
859.900391,14319.11719
858.128906,14241.84863
856.355469,14240.12109
854.582031,14237.0459
852.810547,14178.71094
851.035156,14144.65527
849.261719,14116.00293
847.488281,13867.81445
845.712891,14104.5166
843.9375,13836.24121
