Raman Shift (cm-1),Fitted Intensity,Residual
646.296875,0.3195247085294115,-0.01509358817621026
648.115234,0.3215984865999226,-0.03129523455611155
649.933594,0.3238852458770074,-0.012415550806913811
651.75,0.3263853661905244,0.00019907885805015013
653.566406,0.32910461438955446,-0.02178562691575131
655.382812,0.3320466576386781,-0.013134945681379406
657.199219,0.3352154032845815,-0.009176760388446559
659.015625,0.33861498662004746,0.00027330595660179924
660.830078,0.3422457392032014,-0.03033662600245174
662.646484,0.3461200585715684,-0.013100981177614934
664.460938,0.35023440117167887,-0.03180496467663302
666.275391,0.3545977793855166,-0.051096390539298486
668.087891,0.3592102544331048,-0.05934028131113306
669.902344,0.36408710092264485,-0.046973528476139226
671.714844,0.36922330045613644,-0.05847771272592156
673.527344,0.3746295685480507,-0.07441584393403966
675.339844,0.38031161837596067,-0.0936793516108867
677.150391,0.38626866047473674,-0.08052333465588424
678.962891,0.39251937362368916,-0.09895074410035365
680.773438,0.39905610883531106,-0.10283673963255996
682.583984,0.40589121475804857,-0.10447841615649273
684.394531,0.4130303759292544,-0.11490128291561941
686.205078,0.4204791094021097,-0.13539437987292108
688.013672,0.4282341651689768,-0.10364142906530638
689.822266,0.4363083876086128,-0.12494921308627016
691.630859,0.44470636074871167,-0.10183722024616304
693.439453,0.45343219604740764,-0.10735606639403239
695.248047,0.46248939498456837,-0.11129945525869012
697.054688,0.47187042339502405,-0.09318396779707583
698.861328,0.4815868063301844,-0.09796691669291824
700.667969,0.49163948717751615,-0.10437819918531854
702.474609,0.5020282290779369,-0.09673108067147285
704.28125,0.5127514837724566,-0.10031222653895111
706.085938,0.5237940344837575,-0.09573746856278786
707.890625,0.5351624926334171,-0.11039736191147326
709.695312,0.5468501357559966,-0.08758072496890029
711.5,0.5588480813276927,-0.06827858453558833
713.304688,0.5711450374190084,-0.07732597589633777
715.107422,0.5837133087628344,-0.07880335792016135
716.910156,0.59654929933144,-0.0813595014398838
718.712891,0.6096331525237276,-0.07262501228374219
720.515625,0.6229416418379007,-0.05593811802884574
722.318359,0.6364479930071446,-0.06913541503286547
724.119141,0.6501067707579881,-0.055537520866489665
725.919922,0.6638981138735456,-0.06342513475561706
727.720703,0.6777836019520792,-0.0580916235715675
729.521484,0.691720676663018,-0.03097382427251838
731.322266,0.705662640067251,-0.056706289152885114
733.121094,0.7195436537865326,-0.05074665217493546
734.919922,0.7333242864432984,-0.04629926589329336
736.71875,0.7469462764658705,-0.04459290677071326
738.517578,0.7603480078626736,-0.02627492203652193
740.316406,0.7734649643652879,-0.03838719426086279
742.113281,0.7862166571495918,-0.059478448951973406
743.910156,0.7985492347584026,-0.04992302504122015
745.707031,0.8103936105636519,-0.016873395819026804
747.503906,0.8216807809442602,-0.0486068512105603
749.300781,0.8323428309462202,-0.04528758171562941
751.095703,0.8423035770014224,-0.03177644388274181
752.890625,0.8515127221887289,-0.052627494325974356
754.685547,0.859912474907136,-0.03579907845047314
756.480469,0.8674506343740016,-0.043569963296863023
758.275391,0.8740816935100745,-0.04013381124154469
760.068359,0.87976219830247,-0.042528395882797
761.861328,0.8844708003095734,-0.02606741606713192
763.654297,0.8881877774035538,-0.029261753167914017
765.447266,0.8909033501758714,-0.03098457919354758
767.240234,0.892618071087981,-0.038657735609366584
769.03125,0.8933427547667995,-0.04374517636449893
770.822266,0.8931012951448551,-0.04078061797842625
772.613281,0.891925383554389,-0.028176810074143077
774.404297,0.8898564817735333,-0.04633819413059914
776.195312,0.8869452172972908,-0.011674138590466066
777.984375,0.883255045207132,-0.015164670187288065
779.773438,0.8788495680225742,-0.03621564046473669
781.5625,0.8738016454387858,-0.032730295143704846
783.351562,0.8681896542415861,-0.02691739416629535
785.140625,0.8620964715200488,-0.03890764525336854
786.927734,0.8556157499030297,-0.033714415311628554
788.714844,0.8488297111063443,-0.0526552188226973
790.501953,0.8418286521911336,-0.05490361966130619
792.289062,0.8347037262995026,-0.030992228506876662
794.076172,0.8275462672379192,-0.050757173512791076
795.861328,0.8204549171937973,-0.03467399991080233
797.646484,0.8135116324573805,-0.03704695707320771
799.433594,0.8067977905880783,-0.03853243622981395
801.216797,0.8004219902648515,-0.0360011810774461
803.001953,0.7944480806677365,-0.04846951490272344
804.785156,0.7889724979183036,-0.06534848978130137
806.570312,0.784064818715131,-0.05282835568845701
