Wavenumber (cm^-1),Intensity (a.u.)
2143.07,1352.2
2145.34,1354.58
2147.61,1353.34
2149.88,1353.98
2152.14,1352.76
2154.41,1353.14
2156.67,1354.58
2158.94,1353.42
2161.2,1355.42
2163.46,1354.28
2165.73,1355.02
2167.99,1354.68
2170.25,1353.06
2172.51,1355.38
2174.77,1353.6
2177.03,1353.86
2179.29,1353.84
2181.54,1353.44
2183.8,1353.0
2186.06,1354.02
2188.31,1353.84
2190.57,1354.16
2192.82,1353.48
2195.08,1354.44
2197.33,1352.9
2199.58,1354.7
2201.83,1353.48
2204.09,1352.44
2206.34,1354.86
2208.59,1354.12
2210.83,1353.6
2213.08,1353.86
2215.33,1353.7
2217.58,1353.16
2219.82,1354.4
2222.07,1353.36
2224.32,1354.08
2226.56,1353.86
2228.8,1353.26
2231.05,1354.18
2233.29,1353.04
2235.53,1353.02
2237.77,1354.14
2240.01,1353.44
2242.25,1353.0
2244.49,1353.64
2246.73,1353.88
2248.97,1353.66
2251.21,1353.74
2253.44,1353.08
2255.68,1353.28
2257.91,1353.58
2260.15,1353.38
2262.38,1353.74
2264.62,1352.64
2266.85,1353.84
2269.08,1354.38
2271.31,1354.16
2273.54,1353.12
2275.77,1353.48
2278.0,1353.5
2280.23,1352.96
2282.46,1353.3
2284.69,1353.58
2286.92,1354.34
2289.14,1353.28
2291.37,1354.44
2293.59,1354.16
2295.82,1352.16
2298.04,1356.34
2300.26,1353.66
2302.49,1353.9
2304.71,1354.62
2306.93,1352.76
2309.15,1352.6
2311.37,1353.76
2313.59,1352.56
2315.81,1351.96
2318.02,1354.04
2320.24,1352.86
2322.46,1353.1
2324.67,1353.46
2326.89,1353.16
2329.1,1353.54
2331.32,1354.74
2333.53,1353.48
2335.74,1352.42
2337.96,1354.32
2340.17,1353.26
2342.38,1353.54
2344.59,1353.22
2346.8,1353.62
2349.01,1353.28
2351.21,1353.08
2353.42,1354.36
2355.63,1354.3
2357.84,1354.1
2360.04,1353.66
2362.25,1353.4
2364.45,1353.46
2366.65,1352.9
2368.86,1352.86
2371.06,1353.58
2373.26,1353.16
2375.46,1354.44
2377.66,1354.42
2379.86,1353.6
2382.06,1353.02
