//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Si 300 2,5dpa anneal.wip
GraphName = REFEL Si 300 2,5dpa 760--Spectrum--048--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 5444.30000002328
PositionY = 9598.50000002328
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Si 300 2,5dpa 760--Spectrum--048--Spec.Data 1
 6.56840E+02	 1.37634E+03
 6.59573E+02	 1.37754E+03
 6.62306E+02	 1.37674E+03
 6.65037E+02	 1.37470E+03
 6.67768E+02	 1.37460E+03
 6.70498E+02	 1.37416E+03
 6.73227E+02	 1.37454E+03
 6.75955E+02	 1.37340E+03
 6.78682E+02	 1.37336E+03
 6.81409E+02	 1.37478E+03
 6.84134E+02	 1.37482E+03
 6.86858E+02	 1.37628E+03
 6.89582E+02	 1.37486E+03
 6.92305E+02	 1.37492E+03
 6.95026E+02	 1.37498E+03
 6.97747E+02	 1.37522E+03
 7.00467E+02	 1.37482E+03
 7.03186E+02	 1.37718E+03
 7.05905E+02	 1.37856E+03
 7.08622E+02	 1.37678E+03
 7.11338E+02	 1.37990E+03
 7.14054E+02	 1.37890E+03
 7.16768E+02	 1.37980E+03
 7.19482E+02	 1.37842E+03
 7.22195E+02	 1.37914E+03
 7.24907E+02	 1.38320E+03
 7.27618E+02	 1.38074E+03
 7.30328E+02	 1.38348E+03
 7.33037E+02	 1.38074E+03
 7.35745E+02	 1.38292E+03
 7.38453E+02	 1.38584E+03
 7.41159E+02	 1.38566E+03
 7.43865E+02	 1.38346E+03
 7.46569E+02	 1.38754E+03
 7.49273E+02	 1.38672E+03
 7.51976E+02	 1.38830E+03
 7.54678E+02	 1.38944E+03
 7.57379E+02	 1.38836E+03
 7.60080E+02	 1.39128E+03
 7.62779E+02	 1.39110E+03
 7.65478E+02	 1.39030E+03
 7.68175E+02	 1.39314E+03
 7.70872E+02	 1.39146E+03
 7.73568E+02	 1.39090E+03
 7.76263E+02	 1.39350E+03
 7.78957E+02	 1.38758E+03
 7.81650E+02	 1.38836E+03
 7.84342E+02	 1.38816E+03
 7.87034E+02	 1.38498E+03
 7.89724E+02	 1.38430E+03
 7.92414E+02	 1.38306E+03
 7.95103E+02	 1.38158E+03
 7.97791E+02	 1.38074E+03
 8.00478E+02	 1.38116E+03
 8.03164E+02	 1.37772E+03
 8.05849E+02	 1.37696E+03
 8.08533E+02	 1.37778E+03
 8.11217E+02	 1.37980E+03
 8.13899E+02	 1.37830E+03
 8.16581E+02	 1.37822E+03
 8.19262E+02	 1.37742E+03
 8.21942E+02	 1.37874E+03
 8.24621E+02	 1.37856E+03
 8.27299E+02	 1.38102E+03
 8.29977E+02	 1.37926E+03
 8.32653E+02	 1.37938E+03
 8.35329E+02	 1.37994E+03
 8.38003E+02	 1.38032E+03
 8.40677E+02	 1.37608E+03
 8.43350E+02	 1.37900E+03
 8.46022E+02	 1.37794E+03
 8.48693E+02	 1.37812E+03
 8.51364E+02	 1.37874E+03
 8.54033E+02	 1.37706E+03
 8.56702E+02	 1.37980E+03
 8.59370E+02	 1.37742E+03
 8.62036E+02	 1.37814E+03
 8.64702E+02	 1.37804E+03
 8.67367E+02	 1.37798E+03
 8.70032E+02	 1.37736E+03
 8.72695E+02	 1.37734E+03
 8.75358E+02	 1.37762E+03
 8.78019E+02	 1.37960E+03
 8.80680E+02	 1.37956E+03
 8.83340E+02	 1.37814E+03
 8.85999E+02	 1.37712E+03
 8.88657E+02	 1.37764E+03
 8.91314E+02	 1.37760E+03
 8.93971E+02	 1.37762E+03
 8.96626E+02	 1.37562E+03
 8.99281E+02	 1.37572E+03
 9.01935E+02	 1.37762E+03
 9.04588E+02	 1.37826E+03
 9.07240E+02	 1.37854E+03
 9.09891E+02	 1.37744E+03
 9.12541E+02	 1.37806E+03
 9.15191E+02	 1.37624E+03
 9.17840E+02	 1.37688E+03
 9.20487E+02	 1.37876E+03
 9.23134E+02	 1.37760E+03
 9.25780E+02	 1.37592E+03
 9.28426E+02	 1.37550E+03
 9.31070E+02	 1.37224E+03
 9.33714E+02	 1.37408E+03
 9.36356E+02	 1.37336E+03
 9.38998E+02	 1.37108E+03
 9.41639E+02	 1.37020E+03
 9.44279E+02	 1.37066E+03
 9.46918E+02	 1.36944E+03
 9.49557E+02	 1.36990E+03
 9.52194E+02	 1.37050E+03
 9.54831E+02	 1.36710E+03
 9.57466E+02	 1.36814E+03
 9.60101E+02	 1.36822E+03
 9.62735E+02	 1.36960E+03
 9.65369E+02	 1.36706E+03
 9.68001E+02	 1.36978E+03
 9.70633E+02	 1.36820E+03
 9.73263E+02	 1.36644E+03
 9.75893E+02	 1.36798E+03
 9.78522E+02	 1.36748E+03
 9.81150E+02	 1.36800E+03
 9.83777E+02	 1.36622E+03
 9.86404E+02	 1.36812E+03
 9.89029E+02	 1.36750E+03
 9.91654E+02	 1.36660E+03
 9.94278E+02	 1.36764E+03
 9.96901E+02	 1.36574E+03
 9.99523E+02	 1.36740E+03
 1.00214E+03	 1.36692E+03
 1.00477E+03	 1.36626E+03
 1.00738E+03	 1.36802E+03
 1.01000E+03	 1.36800E+03
 1.01262E+03	 1.36554E+03
 1.01524E+03	 1.36614E+03
 1.01785E+03	 1.36746E+03
 1.02047E+03	 1.36658E+03
 1.02308E+03	 1.36870E+03
 1.02570E+03	 1.36814E+03
 1.02831E+03	 1.36650E+03
 1.03092E+03	 1.36634E+03
 1.03353E+03	 1.36670E+03
 1.03614E+03	 1.36840E+03
 1.03875E+03	 1.36650E+03
 1.04136E+03	 1.36720E+03
 1.04397E+03	 1.36618E+03
 1.04658E+03	 1.36834E+03
 1.04918E+03	 1.36654E+03
 1.05179E+03	 1.36808E+03
 1.05439E+03	 1.36826E+03
 1.05700E+03	 1.36578E+03
 1.05960E+03	 1.36678E+03
 1.06220E+03	 1.36750E+03
 1.06480E+03	 1.36578E+03
 1.06740E+03	 1.36582E+03
 1.07000E+03	 1.36584E+03
 1.07260E+03	 1.36716E+03
 1.07520E+03	 1.36718E+03
 1.07780E+03	 1.36722E+03
 1.08039E+03	 1.36664E+03
 1.08299E+03	 1.36622E+03
 1.08558E+03	 1.36522E+03
 1.08818E+03	 1.36638E+03
 1.09077E+03	 1.36642E+03
 1.09336E+03	 1.36856E+03
 1.09595E+03	 1.36834E+03
 1.09854E+03	 1.36784E+03
 1.10113E+03	 1.36674E+03
 1.10372E+03	 1.36684E+03
 1.10631E+03	 1.36662E+03
 1.10890E+03	 1.36582E+03
 1.11148E+03	 1.36740E+03
 1.11407E+03	 1.36644E+03
 1.11665E+03	 1.36708E+03
 1.11924E+03	 1.36670E+03
 1.12182E+03	 1.36656E+03
 1.12440E+03	 1.36642E+03
 1.12698E+03	 1.36592E+03
 1.12956E+03	 1.36564E+03
 1.13214E+03	 1.36604E+03
 1.13472E+03	 1.36540E+03
 1.13730E+03	 1.36734E+03
 1.13987E+03	 1.36650E+03
 1.14245E+03	 1.36662E+03
 1.14503E+03	 1.36632E+03
 1.14760E+03	 1.36630E+03
 1.15017E+03	 1.36714E+03
 1.15275E+03	 1.36776E+03
 1.15532E+03	 1.36540E+03
 1.15789E+03	 1.36566E+03
 1.16046E+03	 1.36654E+03
 1.16303E+03	 1.36630E+03
 1.16560E+03	 1.36668E+03
 1.16817E+03	 1.36574E+03
 1.17074E+03	 1.36690E+03
 1.17330E+03	 1.36746E+03
 1.17587E+03	 1.36604E+03
 1.17843E+03	 1.36494E+03
 1.18100E+03	 1.36658E+03
 1.18356E+03	 1.36692E+03
 1.18612E+03	 1.36620E+03
 1.18868E+03	 1.36598E+03
 1.19124E+03	 1.36542E+03
 1.19380E+03	 1.36582E+03
