//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Si 300 2,5dpa anneal.wip
GraphName = REFEL Si 300 2,5dpa RT After Glass--Spectrum--056--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 5464.00000002328
PositionY = 9564.40000002328
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Si 300 2,5dpa RT After Glass--Spectrum--056--Spec.Data 1
 1.71637E+03	 1.38990E+03
 1.71876E+03	 1.39210E+03
 1.72116E+03	 1.39162E+03
 1.72355E+03	 1.39050E+03
 1.72595E+03	 1.39092E+03
 1.72834E+03	 1.38942E+03
 1.73073E+03	 1.38898E+03
 1.73313E+03	 1.38758E+03
 1.73552E+03	 1.39028E+03
 1.73791E+03	 1.38890E+03
 1.74030E+03	 1.38976E+03
 1.74269E+03	 1.38760E+03
 1.74507E+03	 1.38710E+03
 1.74746E+03	 1.38942E+03
 1.74985E+03	 1.38826E+03
 1.75224E+03	 1.38828E+03
 1.75462E+03	 1.38968E+03
 1.75701E+03	 1.39094E+03
 1.75939E+03	 1.38740E+03
 1.76177E+03	 1.38840E+03
 1.76415E+03	 1.39072E+03
 1.76654E+03	 1.38864E+03
 1.76892E+03	 1.38816E+03
 1.77130E+03	 1.39014E+03
 1.77368E+03	 1.38840E+03
 1.77606E+03	 1.38756E+03
 1.77843E+03	 1.38870E+03
 1.78081E+03	 1.38784E+03
 1.78319E+03	 1.38912E+03
 1.78556E+03	 1.38746E+03
 1.78794E+03	 1.38934E+03
 1.79031E+03	 1.38940E+03
 1.79269E+03	 1.38864E+03
 1.79506E+03	 1.39108E+03
 1.79743E+03	 1.38756E+03
 1.79981E+03	 1.38976E+03
 1.80218E+03	 1.38802E+03
 1.80455E+03	 1.38688E+03
 1.80692E+03	 1.38802E+03
 1.80928E+03	 1.38916E+03
 1.81165E+03	 1.38868E+03
 1.81402E+03	 1.38964E+03
 1.81639E+03	 1.38838E+03
 1.81875E+03	 1.38764E+03
 1.82112E+03	 1.38842E+03
 1.82348E+03	 1.38588E+03
 1.82585E+03	 1.38836E+03
 1.82821E+03	 1.38962E+03
 1.83057E+03	 1.38864E+03
 1.83293E+03	 1.39056E+03
 1.83529E+03	 1.38798E+03
 1.83765E+03	 1.38712E+03
 1.84001E+03	 1.38740E+03
 1.84237E+03	 1.38874E+03
 1.84473E+03	 1.38670E+03
 1.84709E+03	 1.38828E+03
 1.84944E+03	 1.38878E+03
 1.85180E+03	 1.38748E+03
 1.85416E+03	 1.38924E+03
 1.85651E+03	 1.38962E+03
 1.85886E+03	 1.38806E+03
 1.86122E+03	 1.38870E+03
 1.86357E+03	 1.38974E+03
 1.86592E+03	 1.38706E+03
 1.86827E+03	 1.38674E+03
 1.87062E+03	 1.38972E+03
 1.87297E+03	 1.38930E+03
 1.87532E+03	 1.39218E+03
 1.87767E+03	 1.39134E+03
 1.88002E+03	 1.38882E+03
 1.88236E+03	 1.38826E+03
 1.88471E+03	 1.39016E+03
 1.88705E+03	 1.38912E+03
 1.88940E+03	 1.38762E+03
 1.89174E+03	 1.38888E+03
 1.89409E+03	 1.39220E+03
 1.89643E+03	 1.38880E+03
 1.89877E+03	 1.39016E+03
 1.90111E+03	 1.38986E+03
 1.90345E+03	 1.38856E+03
 1.90579E+03	 1.38972E+03
 1.90813E+03	 1.38948E+03
 1.91047E+03	 1.38984E+03
 1.91281E+03	 1.38990E+03
 1.91514E+03	 1.39000E+03
 1.91748E+03	 1.38870E+03
 1.91981E+03	 1.38936E+03
 1.92215E+03	 1.38876E+03
 1.92448E+03	 1.38808E+03
 1.92682E+03	 1.38748E+03
 1.92915E+03	 1.38682E+03
 1.93148E+03	 1.38810E+03
 1.93381E+03	 1.38734E+03
 1.93614E+03	 1.38780E+03
