//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Si 300 2,5dpa anneal.wip
GraphName = REFEL Si 300 2,5dpa RT After  No Glass--Spectrum--058--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 4897.70000002328
PositionY = 9097.90000002328
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Si 300 2,5dpa RT After  No Glass--Spectrum--058--Spec.Data 1
 7.05905E+02	 1.62294E+03
 7.08622E+02	 1.62628E+03
 7.11338E+02	 1.63356E+03
 7.14054E+02	 1.64582E+03
 7.16768E+02	 1.64050E+03
 7.19482E+02	 1.64942E+03
 7.22195E+02	 1.65764E+03
 7.24907E+02	 1.66610E+03
 7.27618E+02	 1.66070E+03
 7.30328E+02	 1.66688E+03
 7.33037E+02	 1.67260E+03
 7.35745E+02	 1.67146E+03
 7.38453E+02	 1.67838E+03
 7.41159E+02	 1.68664E+03
 7.43865E+02	 1.68808E+03
 7.46569E+02	 1.68626E+03
 7.49273E+02	 1.69252E+03
 7.51976E+02	 1.69972E+03
 7.54678E+02	 1.70478E+03
 7.57379E+02	 1.70642E+03
 7.60080E+02	 1.71136E+03
 7.62779E+02	 1.71636E+03
 7.65478E+02	 1.73164E+03
 7.68175E+02	 1.73440E+03
 7.70872E+02	 1.74334E+03
 7.73568E+02	 1.74406E+03
 7.76263E+02	 1.75586E+03
 7.78957E+02	 1.76392E+03
 7.81650E+02	 1.79096E+03
 7.84342E+02	 1.83738E+03
 7.87034E+02	 1.90564E+03
 7.89724E+02	 1.93840E+03
 7.92414E+02	 1.93706E+03
 7.95103E+02	 1.89304E+03
 7.97791E+02	 1.86102E+03
 8.00478E+02	 1.82518E+03
 8.03164E+02	 1.78040E+03
 8.05849E+02	 1.74814E+03
 8.08533E+02	 1.72342E+03
 8.11217E+02	 1.70824E+03
 8.13899E+02	 1.69912E+03
 8.16581E+02	 1.68996E+03
 8.19262E+02	 1.67824E+03
 8.21942E+02	 1.67578E+03
 8.24621E+02	 1.67062E+03
 8.27299E+02	 1.67268E+03
 8.29977E+02	 1.67912E+03
 8.32653E+02	 1.67662E+03
 8.35329E+02	 1.68192E+03
 8.38003E+02	 1.69168E+03
 8.40677E+02	 1.68738E+03
 8.43350E+02	 1.68122E+03
 8.46022E+02	 1.68696E+03
 8.48693E+02	 1.69292E+03
 8.51364E+02	 1.68642E+03
 8.54033E+02	 1.69030E+03
 8.56702E+02	 1.68682E+03
 8.59370E+02	 1.68478E+03
