//Exported ASCII-File
[Header]
FileName = D:\User\JN 25\JN25045\Alex Leide annealing\REFEL Ne 300 2,5dpa\REFEL Si 300 2,5dpa anneal.wip
GraphName = REFEL Si 300 2,5dpa RT No Window--Spectrum--031--Spec.Data 1
SizeX = 1
SizeY = 1
SizeGraph = 1600
PositionUnit = µm
PositionX = 5519.10000002328
PositionY = 9406.00000002328
PositionZ = 9.33
XAxisUnit = rel. 1/cm
DataUnit = CCD cts

[Data]
X-Axis	REFEL Si 300 2,5dpa RT No Window--Spectrum--031--Spec.Data 1
 6.26711E+02	 1.57034E+03
 6.29454E+02	 1.56492E+03
 6.32197E+02	 1.57214E+03
 6.34939E+02	 1.56722E+03
 6.37680E+02	 1.56962E+03
 6.40419E+02	 1.56854E+03
 6.43158E+02	 1.56488E+03
 6.45896E+02	 1.56444E+03
 6.48634E+02	 1.56658E+03
 6.51370E+02	 1.56580E+03
 6.54105E+02	 1.56596E+03
 6.56840E+02	 1.57080E+03
 6.59573E+02	 1.56750E+03
 6.62306E+02	 1.56866E+03
 6.65037E+02	 1.57078E+03
 6.67768E+02	 1.56590E+03
 6.70498E+02	 1.56564E+03
 6.73227E+02	 1.56206E+03
 6.75955E+02	 1.56662E+03
 6.78682E+02	 1.55968E+03
 6.81409E+02	 1.55730E+03
 6.84134E+02	 1.56304E+03
 6.86858E+02	 1.56270E+03
 6.89582E+02	 1.56058E+03
 6.92305E+02	 1.56090E+03
 6.95026E+02	 1.56982E+03
 6.97747E+02	 1.56512E+03
 7.00467E+02	 1.56818E+03
 7.03186E+02	 1.56904E+03
 7.05905E+02	 1.57802E+03
 7.08622E+02	 1.58574E+03
 7.11338E+02	 1.58204E+03
 7.14054E+02	 1.57988E+03
 7.16768E+02	 1.58272E+03
 7.19482E+02	 1.58804E+03
 7.22195E+02	 1.59814E+03
 7.24907E+02	 1.59872E+03
 7.27618E+02	 1.60130E+03
 7.30328E+02	 1.60300E+03
 7.33037E+02	 1.60506E+03
 7.35745E+02	 1.61072E+03
 7.38453E+02	 1.61022E+03
 7.41159E+02	 1.61560E+03
 7.43865E+02	 1.61726E+03
 7.46569E+02	 1.62464E+03
 7.49273E+02	 1.62682E+03
 7.51976E+02	 1.62774E+03
 7.54678E+02	 1.63052E+03
 7.57379E+02	 1.63048E+03
 7.60080E+02	 1.63596E+03
 7.62779E+02	 1.63440E+03
 7.65478E+02	 1.63668E+03
 7.68175E+02	 1.63174E+03
 7.70872E+02	 1.63526E+03
 7.73568E+02	 1.63946E+03
 7.76263E+02	 1.63726E+03
 7.78957E+02	 1.63642E+03
 7.81650E+02	 1.63372E+03
 7.84342E+02	 1.63422E+03
 7.87034E+02	 1.63294E+03
 7.89724E+02	 1.62918E+03
 7.92414E+02	 1.62784E+03
 7.95103E+02	 1.62376E+03
